2025-06-10 21:11:13.833 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:520] Initializing com.liferay.site.initializer.welcome for group 43551
2025-06-10 21:11:13.837 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking setPLOEntries took 1 ms
2025-06-10 21:11:13.838 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateExpandoColumns took 0 ms
2025-06-10 21:11:13.839 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addStyleBookEntries took 0 ms
2025-06-10 21:11:13.839 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateSAPEntries took 0 ms
2025-06-10 21:11:13.845 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateRoles took 6 ms
2025-06-10 21:11:13.846 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateDDMStructures took 0 ms
2025-06-10 21:11:13.846 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateKnowledgeBaseArticles took 0 ms
2025-06-10 21:11:13.847 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addSiteConfiguration took 0 ms
2025-06-10 21:11:13.847 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateDepotEntries took 0 ms
2025-06-10 21:11:13.848 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateTaxonomyVocabularies took 0 ms
2025-06-10 21:11:13.848 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateUserGroups took 0 ms
2025-06-10 21:11:13.848 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateListTypeDefinitions took 0 ms
2025-06-10 21:11:13.849 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addAccountGroups took 0 ms
2025-06-10 21:11:13.850 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateDataDefinitions took 0 ms
2025-06-10 21:11:13.915 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateLayouts took 64 ms
2025-06-10 21:11:13.916 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateObjectFolders took 0 ms
2025-06-10 21:11:13.916 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addSiteSettings took 0 ms
2025-06-10 21:11:14.348 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateDocuments took 432 ms
2025-06-10 21:11:14.349 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateOrganizations took 0 ms
2025-06-10 21:11:14.349 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addAccounts took 0 ms
2025-06-10 21:11:14.349 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addWorkflowDefinitions took 0 ms
2025-06-10 21:11:14.349 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addPortletSettings took 0 ms
2025-06-10 21:11:14.351 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking updateLayoutSets took 2 ms
2025-06-10 21:11:14.351 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateSXPBlueprint took 0 ms
2025-06-10 21:11:14.351 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addKeywords took 0 ms
2025-06-10 21:11:14.352 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addAccountGroupAssignments took 0 ms
2025-06-10 21:11:14.352 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addFragmentEntries took 0 ms
2025-06-10 21:11:14.352 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateClientExtensionEntries took 0 ms
2025-06-10 21:11:14.353 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateBlogPostings took 0 ms
2025-06-10 21:11:14.353 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addAccountsOrganizations took 0 ms
2025-06-10 21:11:14.353 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateAssetLinkEntries took 0 ms
2025-06-10 21:11:14.354 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addUserAccounts took 0 ms
2025-06-10 21:11:14.355 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addObjectDefinitions took 1 ms
2025-06-10 21:11:14.356 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addUserRoles took 0 ms
2025-06-10 21:11:14.356 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateSegmentsEntries took 0 ms
2025-06-10 21:11:14.356 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateObjectRelationships took 0 ms
2025-06-10 21:11:14.356 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addRolesAssignments took 0 ms
2025-06-10 21:11:14.356 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateObjectFields took 0 ms
2025-06-10 21:11:14.356 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking publishObjectDefinitions took 0 ms
2025-06-10 21:11:14.357 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateNotificationTemplates took 1 ms
2025-06-10 21:11:14.357 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addAssetListEntries took 0 ms
2025-06-10 21:11:14.357 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateAccountEntryRestrictions took 0 ms
2025-06-10 21:11:14.359 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateDDMTemplates took 2 ms
2025-06-10 21:11:14.360 INFO  [http-nio-8080-exec-5][BundleSiteInitializer:5576] Invoking addOrUpdateObjectActions took 0 ms
