2025-06-10 21:10:03.917 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:520] Initializing com.liferay.site.initializer.welcome for group 39423
2025-06-10 21:10:03.918 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateDataDefinitions took 0 ms
2025-06-10 21:10:03.918 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addAccountGroups took 0 ms
2025-06-10 21:10:03.918 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateSAPEntries took 0 ms
2025-06-10 21:10:03.919 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateObjectFolders took 0 ms
2025-06-10 21:10:03.919 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateDepotEntries took 0 ms
2025-06-10 21:10:03.921 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateRoles took 2 ms
2025-06-10 21:10:03.921 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking setPLOEntries took 0 ms
2025-06-10 21:10:03.921 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addKeywords took 0 ms
2025-06-10 21:10:03.921 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateExpandoColumns took 0 ms
2025-06-10 21:10:03.921 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addStyleBookEntries took 0 ms
2025-06-10 21:10:03.921 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addSiteConfiguration took 0 ms
2025-06-10 21:10:03.922 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addSiteSettings took 0 ms
2025-06-10 21:10:03.922 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateListTypeDefinitions took 0 ms
2025-06-10 21:10:03.922 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateDDMStructures took 0 ms
2025-06-10 21:10:03.922 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateUserGroups took 0 ms
2025-06-10 21:10:03.952 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateLayouts took 29 ms
2025-06-10 21:10:03.952 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateTaxonomyVocabularies took 0 ms
2025-06-10 21:10:03.952 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateOrganizations took 0 ms
2025-06-10 21:10:03.952 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addAccounts took 0 ms
2025-06-10 21:10:03.953 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addWorkflowDefinitions took 0 ms
2025-06-10 21:10:03.953 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateKnowledgeBaseArticles took 0 ms
2025-06-10 21:10:03.954 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking updateLayoutSets took 1 ms
2025-06-10 21:10:03.954 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addPortletSettings took 0 ms
2025-06-10 21:10:03.954 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addAccountGroupAssignments took 0 ms
2025-06-10 21:10:04.231 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateDocuments took 277 ms
2025-06-10 21:10:04.232 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateSXPBlueprint took 0 ms
2025-06-10 21:10:04.232 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addAccountsOrganizations took 0 ms
2025-06-10 21:10:04.232 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateClientExtensionEntries took 0 ms
2025-06-10 21:10:04.233 INFO  [http-nio-8080-exec-10][BundleSiteInitializer:5576] Invoking addOrUpdateBlogPostings took 0 ms
