2025-06-17 21:54:39.154 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:532] Initializing com.liferay.site.initializer.welcome for group 41856
2025-06-17 21:54:39.160 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addStyleBookEntries took 0 ms
2025-06-17 21:54:39.160 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateDepotEntries took 0 ms
2025-06-17 21:54:39.160 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateUserGroups took 0 ms
2025-06-17 21:54:39.160 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateObjectFolders took 0 ms
2025-06-17 21:54:39.160 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateExpandoColumns took 0 ms
2025-06-17 21:54:39.161 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateDDMStructures took 1 ms
2025-06-17 21:54:39.161 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateListTypeDefinitions took 0 ms
2025-06-17 21:54:39.161 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateSAPEntries took 0 ms
2025-06-17 21:54:39.161 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addSiteSettings took 0 ms
2025-06-17 21:54:39.161 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking setPLOEntries took 0 ms
2025-06-17 21:54:39.161 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addAccountGroups took 0 ms
2025-06-17 21:54:39.162 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateDataDefinitions took 1 ms
2025-06-17 21:54:39.162 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateTaxonomyVocabularies took 0 ms
2025-06-17 21:54:39.162 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addKeywords took 0 ms
2025-06-17 21:54:39.683 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateDocuments took 521 ms
2025-06-17 21:54:39.688 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateRoles took 3 ms
2025-06-17 21:54:39.688 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateClientExtensionEntries took 0 ms
2025-06-17 21:54:39.688 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateKnowledgeBaseArticles took 0 ms
2025-06-17 21:54:39.759 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateLayouts took 71 ms
2025-06-17 21:54:39.760 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateOrganizations took 0 ms
2025-06-17 21:54:39.760 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addAccounts took 0 ms
2025-06-17 21:54:39.760 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addWorkflowDefinitions took 0 ms
2025-06-17 21:54:39.760 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addSiteConfiguration took 0 ms
2025-06-17 21:54:39.760 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addAccountsOrganizations took 0 ms
2025-06-17 21:54:39.760 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addPortletSettings took 0 ms
2025-06-17 21:54:39.761 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateSXPBlueprint took 0 ms
2025-06-17 21:54:39.761 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateBlogPostings took 0 ms
2025-06-17 21:54:39.762 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking updateLayoutSets took 1 ms
2025-06-17 21:54:39.762 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateAssetLinkEntries took 0 ms
2025-06-17 21:54:39.762 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addAccountGroupAssignments took 0 ms
2025-06-17 21:54:39.763 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addUserAccounts took 0 ms
2025-06-17 21:54:39.763 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addUserRoles took 0 ms
2025-06-17 21:54:39.763 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addFragmentEntries took 0 ms
2025-06-17 21:54:39.763 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addRolesAssignments took 0 ms
2025-06-17 21:54:39.764 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateSegmentsEntries took 0 ms
2025-06-17 21:54:39.764 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addObjectDefinitions took 0 ms
2025-06-17 21:54:39.765 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateObjectRelationships took 0 ms
2025-06-17 21:54:39.765 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateObjectFields took 0 ms
2025-06-17 21:54:39.765 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking publishObjectDefinitions took 0 ms
2025-06-17 21:54:39.774 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateDDMTemplates took 9 ms
2025-06-17 21:54:39.775 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addAssetListEntries took 0 ms
2025-06-17 21:54:39.775 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateJournalArticles took 0 ms
2025-06-17 21:54:39.775 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateAccountEntryRestrictions took 0 ms
2025-06-17 21:54:39.776 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateNotificationTemplates took 1 ms
2025-06-17 21:54:39.776 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateObjectActions took 0 ms
2025-06-17 21:54:39.776 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateObjectEntries took 0 ms
2025-06-17 21:54:39.776 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addCPDefinitions took 0 ms
2025-06-17 21:54:39.776 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addLayoutPageTemplates took 0 ms
2025-06-17 21:54:39.813 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateLayoutsContent took 36 ms
2025-06-17 21:54:40.408 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addLayoutUtilityPageEntries took 594 ms
2025-06-17 21:54:40.408 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addExpandoValues took 0 ms
2025-06-17 21:54:40.408 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addSegmentsExperiences took 0 ms
2025-06-17 21:54:40.408 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:5678] Invoking addOrUpdateResourcePermissions took 0 ms
2025-06-17 21:54:40.409 INFO  [http-nio-8080-exec-8][BundleSiteInitializer:550] Initialized com.liferay.site.initializer.welcome for group 41856 in 1255 ms
2025-06-17 21:54:43.423 INFO  [http-nio-8080-exec-8][BatchEngineImportTaskExecutorImpl:95] Started batch engine import task 104
2025-06-17 21:54:45.232 INFO  [http-nio-8080-exec-8][BatchEngineImportTaskExecutorImpl:176] Finished batch engine import task 104 in 1808ms
2025-06-17 22:14:14.010 WARN  [liferay/mail-2][MailMessageListener:123] Email test@domain.invalid will be ignored because it is included in mail.send.blacklist
2025-06-17 22:14:14.011 WARN  [liferay/mail-2][MailMessageListener:49] Skipping email because the sender is not specified
2025-06-17 22:14:37.096 WARN  [liferay/mail-3][MailMessageListener:123] Email test@domain.invalid will be ignored because it is included in mail.send.blacklist
2025-06-17 22:14:37.097 WARN  [liferay/mail-3][MailMessageListener:49] Skipping email because the sender is not specified
